adviser_id,category,source_file,source_row_id,amount_gbp,included
ADV-001,UNCATEGORISED,claims.csv,QS-Q1-001,600.0,False
ADV-001,advisory_fees_gbp,engagements.csv,ENG-001,1500.0,True
ADV-001,advisory_fees_gbp,engagements.csv,ENG-026,1500.0,True
ADV-001,hospitality_gbp,claims.csv,CLM-001,250.0,True
ADV-001,hospitality_gbp,claims.csv,CLM-058,250.0,True
ADV-001,travel_accommodation_gbp,claims.csv,CLM-002,350.0,True
ADV-001,travel_accommodation_gbp,claims.csv,CLM-059,350.0,True
ADV-002,UNCATEGORISED,claims.csv,QS-Q1-002,700.0,False
ADV-002,advisory_fees_gbp,engagements.csv,ENG-005,2500.0,True
ADV-002,advisory_fees_gbp,engagements.csv,ENG-028,1800.0,True
ADV-002,hospitality_gbp,claims.csv,CLM-010,350.0,True
ADV-002,hospitality_gbp,claims.csv,CLM-063,300.0,True
ADV-002,travel_accommodation_gbp,claims.csv,CLM-011,350.0,True
ADV-002,travel_accommodation_gbp,claims.csv,CLM-064,400.0,True
ADV-003,UNCATEGORISED,claims.csv,QS-Q1-003,600.0,False
ADV-003,advisory_fees_gbp,engagements.csv,ENG-003,1800.0,True
ADV-003,advisory_fees_gbp,engagements.csv,ENG-029,1500.0,True
ADV-003,hospitality_gbp,claims.csv,CLM-006,250.0,True
ADV-003,hospitality_gbp,claims.csv,CLM-065,400.0,True
ADV-003,travel_accommodation_gbp,claims.csv,CLM-007,350.0,True
ADV-003,travel_accommodation_gbp,claims.csv,CLM-066,600.0,True
ADV-003,travel_accommodation_gbp,claims.csv,CLM-067,1000.0,True
ADV-004,UNCATEGORISED,claims.csv,QS-Q1-004,800.0,False
ADV-004,advisory_fees_gbp,engagements.csv,ENG-002,2000.0,True
ADV-004,advisory_fees_gbp,engagements.csv,ENG-027,2000.0,True
ADV-004,hospitality_gbp,claims.csv,CLM-003,300.0,True
ADV-004,hospitality_gbp,claims.csv,CLM-060,350.0,True
ADV-004,travel_accommodation_gbp,claims.csv,CLM-004,350.0,True
ADV-004,travel_accommodation_gbp,claims.csv,CLM-005,150.0,True
ADV-004,travel_accommodation_gbp,claims.csv,CLM-061,350.0,True
ADV-004,travel_accommodation_gbp,claims.csv,CLM-062,200.0,True
ADV-005,UNCATEGORISED,claims.csv,QS-Q1-005,550.0,False
ADV-005,advisory_fees_gbp,engagements.csv,ENG-004,1200.0,True
ADV-005,advisory_fees_gbp,engagements.csv,ENG-030,1200.0,True
ADV-005,hospitality_gbp,claims.csv,CLM-008,200.0,True
ADV-005,hospitality_gbp,claims.csv,CLM-068,350.0,True
ADV-005,travel_accommodation_gbp,claims.csv,CLM-009,350.0,True
ADV-005,travel_accommodation_gbp,claims.csv,CLM-069,350.0,True
ADV-006,UNCATEGORISED,claims.csv,QS-Q1-006,550.0,False
ADV-006,advisory_fees_gbp,engagements.csv,ENG-006,1500.0,True
ADV-006,hospitality_gbp,claims.csv,CLM-012,200.0,True
ADV-006,travel_accommodation_gbp,claims.csv,CLM-013,350.0,True
ADV-007,UNCATEGORISED,claims.csv,QS-Q1-007,900.0,False
ADV-007,advisory_fees_gbp,engagements.csv,ENG-007,2000.0,True
ADV-007,hospitality_gbp,claims.csv,CLM-014,350.0,True
ADV-007,travel_accommodation_gbp,claims.csv,CLM-015,350.0,True
ADV-007,travel_accommodation_gbp,claims.csv,CLM-016,200.0,True
ADV-008,UNCATEGORISED,claims.csv,QS-Q1-008,700.0,False
ADV-008,advisory_fees_gbp,engagements.csv,ENG-008,1800.0,True
ADV-008,advisory_fees_gbp,engagements.csv,ENG-033,1500.0,True
ADV-008,hospitality_gbp,claims.csv,CLM-017,300.0,True
ADV-008,hospitality_gbp,claims.csv,CLM-074,300.0,True
ADV-008,travel_accommodation_gbp,claims.csv,CLM-018,400.0,True
ADV-008,travel_accommodation_gbp,claims.csv,CLM-075,300.0,True
ADV-008,travel_accommodation_gbp,claims.csv,CLM-081,320.0,False
ADV-009,UNCATEGORISED,claims.csv,QS-Q1-009,600.0,False
ADV-009,advisory_fees_gbp,engagements.csv,ENG-009,1200.0,True
